Date,Item,Category,Quantity,Unit Price,Revenue
2026-05-17,Margherita Pizza,Mains,14,9.50,133.00
2026-05-17,Pepperoni Pizza,Mains,12,11.00,132.00
2026-05-17,Lasagne,Mains,6,12.50,75.00
2026-05-17,Grilled Chicken,Mains,6,13.00,78.00
2026-05-17,Garlic Bread,Sides,10,4.00,40.00
2026-05-17,House Fries,Sides,16,3.00,48.00
2026-05-17,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-17,Still Water,Drinks,6,2.00,12.00
2026-05-17,Soft Drink,Drinks,11,2.50,27.50
2026-05-17,House Wine (glass),Drinks,6,6.00,36.00
2026-05-17,Tiramisu,Desserts,4,6.50,26.00
2026-05-17,Gelato,Desserts,4,4.50,18.00
2026-05-17,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-17,Chef's Special,,1,10.00,10.00
2026-05-18,Margherita Pizza,Mains,14,9.50,133.00
2026-05-18,Pepperoni Pizza,Mains,13,11.00,143.00
2026-05-18,Lasagne,Mains,7,12.50,87.50
2026-05-18,Grilled Chicken,Mains,5,13.00,65.00
2026-05-18,Garlic Bread,Sides,9,4.00,36.00
2026-05-18,House Fries,Sides,16,3.00,48.00
2026-05-18,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-18,Still Water,Drinks,6,2.00,12.00
2026-05-18,Soft Drink,Drinks,11,2.50,27.50
2026-05-18,House Wine (glass),Drinks,7,6.00,42.00
2026-05-18,Tiramisu,Desserts,4,6.50,26.00
2026-05-18,Gelato,Desserts,3,4.50,13.50
2026-05-18,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-18,Chef's Special,,1,10.00,10.00
2026-05-19,Margherita Pizza,Mains,13,8.55,111.15
2026-05-19,Pepperoni Pizza,Mains,10,11.00,110.00
2026-05-19,Lasagne,Mains,6,12.50,75.00
2026-05-19,Grilled Chicken,Mains,5,13.00,65.00
2026-05-19,Garlic Bread,Sides,10,4.00,40.00
2026-05-19,House Fries,Sides,13,3.00,39.00
2026-05-19,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-19,Still Water,Drinks,6,2.00,12.00
2026-05-19,Soft Drink,Drinks,11,2.50,27.50
2026-05-19,House Wine (glass),Drinks,6,6.00,36.00
2026-05-19,Tiramisu,Desserts,4,6.50,26.00
2026-05-19,Gelato,Desserts,3,4.50,13.50
2026-05-19,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-19,Chef's Special,,1,10.00,10.00
2026-05-20,Margherita Pizza,Mains,13,9.50,123.50
2026-05-20,Pepperoni Pizza,Mains,13,11.00,143.00
2026-05-20,Lasagne,Mains,7,12.50,87.50
2026-05-20,Grilled Chicken,Mains,6,13.00,78.00
2026-05-20,Garlic Bread,Sides,10,4.00,40.00
2026-05-20,House Fries,Sides,16,3.00,48.00
2026-05-20,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-20,Still Water,Drinks,7,2.00,14.00
2026-05-20,Soft Drink,Drinks,12,2.50,30.00
2026-05-20,House Wine (glass),Drinks,6,6.00,36.00
2026-05-20,Tiramisu,Desserts,4,6.50,26.00
2026-05-20,Gelato,Desserts,3,4.50,13.50
2026-05-20,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-20,Chef's Special,,1,10.00,10.00
2026-05-21,Margherita Pizza,Mains,14,9.50,133.00
2026-05-21,Pepperoni Pizza,Mains,13,11.00,143.00
2026-05-21,Lasagne,Mains,8,12.50,100.00
2026-05-21,Grilled Chicken,Mains,6,13.00,78.00
2026-05-21,Garlic Bread,Sides,12,4.00,48.00
2026-05-21,House Fries,Sides,16,3.00,48.00
2026-05-21,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-21,Still Water,Drinks,8,2.00,16.00
2026-05-21,Soft Drink,Drinks,11,2.50,27.50
2026-05-21,House Wine (glass),Drinks,7,6.00,42.00
2026-05-21,Tiramisu,Desserts,5,6.50,32.50
2026-05-21,Gelato,Desserts,3,4.50,13.50
2026-05-21,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-21,Chef's Special,,1,10.00,10.00
2026-05-22,Margherita Pizza,Mains,21,9.50,199.50
2026-05-22,Pepperoni Pizza,Mains,19,11.00,209.00
2026-05-22,Lasagne,Mains,10,12.50,125.00
2026-05-22,Grilled Chicken,Mains,8,13.00,104.00
2026-05-22,Garlic Bread,Sides,15,4.00,60.00
2026-05-22,House Fries,Sides,22,3.00,66.00
2026-05-22,"Olive, Herb & Feta Flatbread",Sides,2,7.50,15.00
2026-05-22,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-05-22,Still Water,Drinks,10,2.00,20.00
2026-05-22,Soft Drink,Drinks,16,2.50,40.00
2026-05-22,House Wine (glass),Drinks,9,5.50,49.50
2026-05-22,Tiramisu,Desserts,6,6.50,39.00
2026-05-22,Gelato,Desserts,5,4.50,22.50
2026-05-22,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-05-22,Chef's Special,,1,10.00,10.00
2026-05-23,Margherita Pizza,Mains,20,9.50,190.00
2026-05-23,Pepperoni Pizza,Mains,20,11.00,220.00
2026-05-23,Lasagne,Mains,11,12.50,137.50
2026-05-23,Grilled Chicken,Mains,9,13.00,117.00
2026-05-23,Garlic Bread,Sides,15,4.00,60.00
2026-05-23,House Fries,Sides,25,3.00,75.00
2026-05-23,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-23,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-05-23,Still Water,Drinks,10,2.00,20.00
